name,salary,sprocket_player_id,member_id,discord_id,skill_group,franchise,Franchise Staff Position,slot,current_scrim_points,Eligible Through
G3 Celtics,18.0,4768,4827,757784089766920292,Premier League,FP,NA,NONE,0,Not Eligible
Apple,16.0,19,20,145011249212555264,Master League,FP,NA,NONE,0,Not Eligible
Barry Allen,14.0,39,40,182189556852981760,Champion League,FP,NA,NONE,0,Not Eligible
woof,17.0,2226,2285,277577131117248514,Premier League,FP,NA,NONE,0,Not Eligible
Landohh,18.5,4658,4717,545714501656248371,Master League,FP,NA,NONE,0,Not Eligible
gamer1354,16.5,4519,4578,149895358787485696,Master League,FP,NA,NONE,0,Not Eligible
AON,17.0,3881,3940,579463356063285291,Master League,Spectre,NA,PLAYERB,0,Not Eligible
Slipackeil,12.5,503,510,223930200843354112,Academy League,FP,NA,NONE,0,Not Eligible
kfaz,5.0,3988,4047,523294389443887104,Foundation League,FP,NA,NONE,0,Not Eligible
Ts_AcE,11.0,3254,3313,487772548524933141,Academy League,FP,NA,NONE,0,Not Eligible
ChadSaysRL,14.5,3470,3529,717403901074341940,Champion League,FP,NA,NONE,0,Not Eligible
glass,17.5,6117,6162,668787699045498881,Master League,FP,NA,NONE,0,Not Eligible
dray,15.5,2415,2474,395779123324387328,Champion League,FP,NA,NONE,0,Not Eligible
Xylo,11.5,1399,1424,152992555754061824,Academy League,FP,NA,NONE,0,Not Eligible
IAmTheMostHumble,13.5,4195,4253,1053499017998377012,Champion League,FP,NA,NONE,0,Not Eligible
Xytals,15.5,5075,5133,932063139468574781,Master League,FP,NA,NONE,0,Not Eligible
Wichita,9.0,3739,3798,533559854875541504,Foundation League,FP,NA,NONE,0,Not Eligible
GoofyGogurt,15.5,3814,3873,638566532569628712,Master League,FP,NA,NONE,0,Not Eligible
Elbi,14.5,3264,3323,434454172247523328,Champion League,FP,NA,NONE,0,Not Eligible
Ricky Sauce,13.0,3054,3113,488562760884682754,Champion League,FP,NA,NONE,0,Not Eligible
Beastmaster,16.5,5493,5552,827545030230409246,Master League,FP,NA,NONE,0,Not Eligible
Stone-Dog Millionaire,14.5,1732,1789,215986951264796673,Champion League,FP,NA,NONE,0,Not Eligible
Azuro,15.5,872,882,291747070182948864,Master League,FP,NA,NONE,0,Not Eligible
Mucasa92,8.5,1889,1947,597489008687185920,Foundation League,FP,NA,NONE,0,Not Eligible
Deadly.,17.0,5328,5386,366675135291195394,Master League,FP,NA,NONE,0,Not Eligible
Eventix,15.5,6150,6195,1260311029674676376,Champion League,FP,NA,NONE,0,Not Eligible
A Humble Potato,19.5,2982,3041,342777103969681409,Premier League,FP,NA,NONE,0,Not Eligible
JoeExotic,14.0,3725,3784,84465097178615808,Champion League,FP,NA,NONE,0,Not Eligible
jigsaw,13.0,247,251,325639976740192256,Champion League,FP,NA,NONE,0,Not Eligible
Quassaunt,13.0,4961,5019,354415142609616896,Champion League,FP,NA,NONE,0,Not Eligible
Kryptyik,15.0,4176,4234,491399599181791254,Champion League,Pirates,NA,PLAYERB,0,Not Eligible
